# ID|主要防护时点及持续|补充方式及次数|耗尽/空窗与长期表现
105|80%阻绝/生命10%常驻、开局三屏障|屏障不补，受击叠贯通|自身持续伤害恶化100%，不能忽略DOT风险
106|开局一层屏障，主动弱化可净化|屏障一次|死亡盾只给其他友军，不计自身续航
107|受主动弱化且总数至少2种时全净化|无原文冷却，但需附加事件|无减伤/回血，净化不能等同高抗伤
108|常驻60%减伤，前6回合80%吸血|吸血随伤害，最快目标屏障8行动间隔且不默认选中自身|第7回合高输出时已无80%吸血
109|70%阻绝常驻|每3行动提供一次强化普攻，净化并减CD；吸血补续航|净化要实际普攻，不是每次受击触发
111|生命80%常驻，受击回复60%承伤|受击可持续触发|不可救致命伤；抗暴需5名敌人且选人匹配
112|开局一层阈值屏障|每场一次，每主动自损|没有稳定续航
113|减伤75%按增益条件续期，800%攻击盾8回合|盾在行动结束时给，需结束8次行动后再触发|盾破后等待补盾，不能把有效期8回合作为每回合回盾
114|生命100%/减伤65%常驻|S1/S2前6回合自疗10%；P1每次5%最多15次|第7回合可由队友主动恢复继续触发P1，15次耗尽后不再回复
115|60%减伤常驻，双防100%/抗暴60%4回合|每4行动重新附加，全体护罩同周期|无直接回血，反复防护稳定但不是回复循环
116|生命100%/阻绝50%常驻，低速攻击方或反伤70%|无稳定自身治疗|条件阻绝按攻击来源，常态并非70%
117|前4回合80%阻绝，之后60%|指定回合生命盾给最高攻击友军，不默认自己|后期弱于前期，自己没有已确认稳定补盾
123|常驻60%减伤，开局500%攻击盾4回合与两屏障|盾和屏障一次；每行动开始自净化3种|破盾与屏障耗尽后仍有减伤净化，但不再恢复资源
124|生命100%、合理苍翠队双防80%常驻|双主动回5%最大生命|防御与生命提供稳定容量，回复每主动一次且可溢出
125|75%减伤常驻|前4回合对敌脱力/降贯通，无自身回血|外部削弱到期，不能当常驻额外生存乘区
126|75%减伤常驻，前两次S1盾4回合|第三次S1停止补盾|成熟高输出时不能继续算反复护盾
128|第1/2回合各给一屏障，最多1层|仅这两个固定时点|不是开局两层可叠，后期无稳定防护
129|致命回50%生命并净化，4回合85%阻绝，之后70%|致命保命每场一次，吸血补续航|触发之前没有该阻绝，强化伤害/85%防护仅4回合
130|开局一层阈值屏障|不补发，成熟S1重放额外自损|多次自损与无持续回血限制长期生存
131|70%减伤常驻，物防100%/物理暴伤降低40%前6回合|全队弱化达5种时自净化3种|第7回合额外物防到期，S1还有短时自降防
132|生命100%/防御150%/减伤40%常驻|恢复事件叠物防至60%；前6回合主动治疗|满物防需10次主动恢复，后期自疗停止
134|70%减伤常驻，50%阻绝只第1–2/5–6回合|主动弱化事件自净化一种|结界不再补发，后期按减伤/净化而非双乘区
135|周期1000%攻击盾4回合，防御150%/减伤30%|护盾每4行动补发，第13回合停止；妖精每回合成长|合理队第15回合才满妖精，此时不能继续新发满层盾
137|身影存在75%阻绝，耗尽后60%|身影初始10层逐回合消耗，第3回合可额外消4层|消耗不补发，不能把10层暴率和长驻75%同时评价
139|首回合500%攻击盾10回合、减伤70%常驻|盾一次；行动防御100%可周期刷新，条件吸血20%|先行动前无加防，破盾/到期不回盾
140|减伤60%常驻，防魔增益前6回合|低血存活且无灵痕时一次净化/400%攻击治疗|灵痕限制每目标一次；第7回合受魔攻群净化停止
148|首次行动条件晕厥免疫2回合|免疫一次，每主动两次自损|无抗伤与回血，不能靠免疫抵消自损
149|减伤70%常驻，合理配队防御150%前6回合|主动弱化事件自净化一种|第7回合防御到期，触发净化不等同永久免疫
150|生命100%/减伤40%常驻；双防100%前10回合|前10回合强化普攻治疗，前6回合S1治疗|第11回合双防/强化普攻同时到期，满层攻击不能挪作补盾
151|首行动献身3回合/65%阻绝；开局两屏障|献身/屏障均仅一次；S1三防3回合可循环，S2伤害回复|代伤增加自身压力；献身到期无65%阻绝
153|75%减伤常驻，行动附加三种来源防御4回合|每4行动重复附加，非无限叠加|先手行动前无加防，无自身回血
